Estabelecimento,Review
Mini Mundo,"O  parque temático Mini Mundo, fica localizado na charmosa cidade de Gramado! A riqueza dos detalhes são incríveis, dentro do  parque a gente encontra, lanches e lojas com mimos! Amei, indico muito! ❤️"
Mini Mundo,"Apesar do ingresso ser bem carinho e não aceitar meia-entrada ou cartão, vale muito a pena pois é muito divertido e com uma atenção incrível aos detalhes. Não tem como ir à Gramado e não  passar lá!"
Mini Mundo,"A loja, fica localizada dentro do  parque temático do Mini Mundo! A loja é linda, a variedade incrível e muuuito fofa. Vale a pena adquirir cada mimo! Fiquei completamente apaixonada! Indico! ❤️🔝❤️"
Mini Mundo,"Maquetes encantadoras de  pontos turísticos e históricos principalmente da Alemanha. A visita é curta, mas o espaço tem uma  infraestrutura agradável e confortável. Recomendado !!"
Mini Mundo,"Imperdível! Réplicas de diversos  monumentos e construções mundiais, em escala 24 vezes menor que o real. Exibido ao ar livre,  o cenário forma uma pequena cidade em movimento. "
Mini Mundo,"Adoro esse lugar, tudo com muito amor e sensibilidade, as crianças amam os ursinhos Gui e ana e a bruxinha do bem. Ótimas lembrancinhas!! Recomendo"
Mini Mundo,"Passeio imperdível, enriquecedor! Maquetes perfeitas, cada pedacinho ali tem um pouco de história do mundo, do Brasil. Parabéns a família que continua investindo no sonho de seu fundador!"
Mini Mundo,"Ingresso R$ 36,00. Não deixe de fazer a visita guiada, pois sem ela dificilmente você irá entender os detalhes e a história das  miniaturas. A guia ainda tira fotos de todos, e o melhor, é grátis."
Mini Mundo,"Maquete em  miniatura gigante! Não é atoa que chama Mini Mundo. Espaço aberto, fique esperto com o clima.  Riqueza de detalhes e funcionários muito simpáticos e competentes, com certeza vale a visita!"
Mini Mundo,"Local incrível, senão o melhor  parque da região e possui uma história belíssima, vale a pena acompanhar o guia e aprender sobre o local."
Mini Mundo,"Interessante, com réplicas perfeitas de várias construções famosas (principalmente da Alemanha). Evite ir de manhã,qdo as excursões chegam, tornando o lugar mto  cheio e prejudicando o passeio."
Mini Mundo,Um  museu a céu aberto com  miniaturas de trechos de vários  pontos turísticos do mundo. As montagens das cenas são muito bem trabalhadas e algumas são até  animadas. Excelente trabalho artístico.
Mini Mundo,"Sensacional! Um trabalho detalhado de prédios da Alemanha (e países próximos) e Brasil. Diversão para crianças e adultos, com direito a guias simpáticos, e quatro personagens muito divertidos!"
Mini Mundo,"Lugar lindo e encantador! Um dos passeios que mais gostei em Gramado. Tudo feito com  riqueza de detalhes, é impressionante e imperdível! Adultos e crianças se divertem aqui! As fotos ficam lindas!"
Mini Mundo,"Vale a visita, tudo muito bem feito e bonito. Adorei a homenagem a SP, com o  Museu do Ipiranga. Fica relativamente próximo ao  lago negro, talvez você queira visitar os dois no mesmo dia."
Mini Mundo,"Impressionante a  riqueza de detalhes desse  parque, vale cada centavo, em setembro/16 estava custando R$ 28,00. Vale o passeio, atendimento excelente, vale para todas as idades, pelo menos 1h de visita"
Mini Mundo,Lugar muito agradável e impressiona pela  riqueza de detalhes das  miniaturas. Vale muito a visita e chegue cedo pois fica muito tumultuado o espaço ao longo do dia.
Mini Mundo,"Tudo neste  parque é feito com uma  riqueza de detalhes que só quem ama muito o que faz consegue atingir. Você poderá jogar uma moeda na fonte, tomar um  café no  Café Mini Mundo e tirar muitas fotos!"
Mini Mundo,"Realismo incrível, vale muito a pena visitar... Mas evitem vir com a CVC, pois o passeio merece apreciação e não dá pra ver tudo em menos de 1h."
Mini Mundo,"O  parque é uma graça, em todos os sentidos. Tudo por aqui é 24 vezes menor do que o tamanho real e há  miniaturas de  castelos, e casas típicas da Europa. Simplesmente imperdível!!!"
Mini Mundo,"Recomendo! Programa para crianças,  jovens, adultos e melhor idade.  Ficamos encantados com o nível da perfeição e realismo dos diagramas."
Mini Mundo,"É tudo tão lindo e bem cuidado. Vale para ir também sem crianças. Tem um  quiosque ainda dentro do  parque com preços ótimos.  Pipoca (gostosa, tipo  caseira) a R$2."
Mini Mundo,"Positivo.: Bairros, vilas, cidades... Carros, navios e td mais em  miniatura... Espetacular! Encantador..  Negativos .: local íngrime,  cheio de rampas.. Nada que impeça o bom passeio."
Mini Mundo,"Lindo lugar, relembra a magia da infância.  Miniaturas perfeitas. Recomendo pegar o jornal do Mini Mundo antes do passeio para ler e entender melhor muitas situações que ocorrem ali."
Mini Mundo,"Pode não ser tão  barato mas vale muito a pena. Tanto réplicas quanto cenas cotidianas são realistas e lindas. Pegue o jornal distribuído na entrada, tem historias divertidas sobre certas  miniaturas."
Mini Mundo,"Fantástico, verdadeira obra de  arte viva que nos remete aos tempos de infância. Criançada fica enlouquecida com as mini cidades réplicas fiéis de locais históricos.  Muito bom."
Mini Mundo,Ótima opção de passeio para adultos e crianças. Vale a visita.
Mini Mundo,"Muuuuuuito lindo tudo, vontade de ficar pra sempre!!  Miniaturas muito bem feitas, muito detalhe que faz você ficar olhando por horas!"
Mini Mundo,"Incrível,  passaria um dia inteiro lá... Não deixe de conversar com o pessoal que trabalha no local: eles explicam as peças e te ajudam a tirar fotos incríveis!"
Mini Mundo,Perfeição nos detalhes das réplicas. Vale a pena investir 1hora e meia pra perceber cada historinha... A história do criador deste  parque é linda!
Mini Mundo,"Passeio que se dar pra fazer em 1 hora, cidades do mundo em  miniatura, um belo trabalho e pra quem vem conhecer gramado parada obrigatória."
Mini Mundo,Um lugar adorável... liiiindo. Um mundo d magia ... profissionais super bem atenciosos... sem falar do carinho da Ana e do Gui😍
Mini Mundo,"Bem cuidado, organizado e com muitas informações. Até espaço pra brincar.  Cafezinho e minibar pra ajudar na estrutura. Meia entrada até 12 anos. Muito legal pra criançada."
Mini Mundo,Retornamos e sempre há novidades! O novo  Museu do Ipiranga é maravilhoso e o jornal é muito criativo. Preste atenção aos pequenos detalhes e divirta-se!
Mini Mundo,"Parada obrigatória, vale cada centavo da entrada. Vá com tempo, pois são MUITOS detalhes. Acompanhar o jornalzinho é uma maneira boa de se guiar lá dentro."
Mini Mundo,O  parque é bacana e os detalhes nas  miniaturas fazem a diferença. Uma boa opção para aqueles que tem interesse nas  miniaturas.
Mini Mundo,"Mini mundo nos faz lembrar da infância, e um ótimo lugar para conhecer em gramado, levar os filhos e se tornar criança por algumas horas."
Mini Mundo,"Parabéns para família q após gerações mantém vivo esse mundo de fantasia... E a cada visita algo diferente irá acontecer. Mto feliz em conhecer o  parque, história e família..."
Mini Mundo,"Não deixe de acompanhar o tour com o Limpador de Chaminés!!! O passeio é excelente, mas as intervenções dele fazem o passeio se tornar muito mais mágico!!!"
Mini Mundo,Espetacular... Vale muito a pena... Tentem pegar esse ângulo para fazer uma foto...
Mini Mundo,"A perfeição de todas as peças, desde  castelos a situações corriqueiras, é de cair o queixo. Pôr os pés em Gramado e não visitar o Mini Mundo é um pecado capital."
Mini Mundo,"Lindo! Um encanto em  miniatura, com réplicas de construções histórias do mundo todo, e ainda proporciona interação do ambiente com os visitantes!"
Mini Mundo,"Vale muito a pena conversar com os funcionários, como o 'limpador de chaminé', além de muito simpáticos e divertidos, eles dão dicas e contam histórias do Mini mundo!"
Mini Mundo,Se for vir c/ empresa de  turismo / passeio não entre! Reserve uma manhã ou tarde. Tivemos o prazer de ser acompanhados pelo Limpador de Chaminés (Junior) q mostrou cada detalhe do  parque.
Mini Mundo,Um dos lugares mais legais que já conheci e imperdivel para quem visita Gramado. Encanta crianças e adultos.  Um lindo trabalho!
Mini Mundo,"Incrível o capricho na idealização das  miniaturas, muito bonito e diferente, vale a pena conferir."
Mini Mundo,"Muito bonito e bem feito, ótimo para as crianças. Ingresso R$28 achei a cima do preço pelo inquérito oferece."
Mini Mundo,Um lugar simplesmente FANTÁSTICO. Todos deveriam ter a possibilidade de conhecer.  Todas aa peças são 25 vezes menores que as originais.  E a cidade realmente parece bem real
Mini Mundo," Miniaturas sensacionais, muitos detalhes e fidelidade aos originais. Parada obrigatória em Gramado!"
Mini Mundo,"Passeio obrigatório! Tire um tempo para observar a perfeição das  miniaturas, ricas em detalhes, que não estão apenas exibidas: todas contam pequenas histórias."
